cod_entidad;entidad;cod_tipo_gasto;tipo_gasto;cod_grupo_gasto;grupo_gasto;cod_subgrupo_gasto;subgrupo_gasto;cod_renglon;renglon;asignado;vigente;devengado
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;110;SERVICIOS BASICOS Y OTROS COMPLEMENTARIOS;111;ENERGIA ELECTRICA;1929000;2419249;1892723.12
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;110;SERVICIOS BASICOS Y OTROS COMPLEMENTARIOS;112;AGUA;133400;142793;84660.67
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;110;SERVICIOS BASICOS Y OTROS COMPLEMENTARIOS;113;TELEFONIA;2616500;3684894;1907965.48
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;110;SERVICIOS BASICOS Y OTROS COMPLEMENTARIOS;114;CORREOS Y TELEGRAFOS;25000;25000;0
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;110;SERVICIOS BASICOS Y OTROS COMPLEMENTARIOS;116;SERVICIOS DE LAVANDERIA;100000;100000;17595
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;120;DIVULGACION, IMPRESION Y ENCUADERNACION;121;DIVULGACION E INFORMACION;150000;169102;17179.63
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;120;DIVULGACION, IMPRESION Y ENCUADERNACION;122;IMPRESION, ENCUADERNACION Y REPRODUCCION;595000;361759;72838.2
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;130;VIATICOS, GASTOS CONEXOS Y RECONOCIMIENTO DE GASTOS;131;VIATICOS EN EL EXTERIOR;1935000;1210000;46061.27
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;130;VIATICOS, GASTOS CONEXOS Y RECONOCIMIENTO DE GASTOS;132;VIATICOS DE REPRESENTACION EN EL EXTERIOR;1837800;1062800;0
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;130;VIATICOS, GASTOS CONEXOS Y RECONOCIMIENTO DE GASTOS;133;VIATICOS EN EL INTERIOR;1499200;1164984;620148.27
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;130;VIATICOS, GASTOS CONEXOS Y RECONOCIMIENTO DE GASTOS;136;RECONOCIMIENTO DE GASTOS;356000;269075;16774.22
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;140;TRANSPORTE Y ALMACENAJE;141;TRANSPORTE DE PERSONAS;1503750;621260;4045
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;140;TRANSPORTE Y ALMACENAJE;142;FLETES;75000;15000;0
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;150;ARRENDAMIENTOS Y DERECHOS;151;ARRENDAMIENTO DE EDIFICIOS Y LOCALES;1756000;1389000;1024021.02
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;150;ARRENDAMIENTOS Y DERECHOS;153;ARRENDAMIENTO DE MAQUINAS Y EQUIPOS DE OFICINA;702682;683822;224735.9
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;150;ARRENDAMIENTOS Y DERECHOS;155;ARRENDAMIENTO DE MEDIOS DE TRANSPORTE;1025000;450485;118936
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;150;ARRENDAMIENTOS Y DERECHOS;158;DERECHOS DE BIENES INTANGIBLES;495000;500247;98081.03
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;160;MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO;162;MANTENIMIENTO Y REPARACION DE  EQUIPO DE OFICINA;40000;35000;3200
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;160;MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO;165;MANTENIMIENTO Y REPARACION DE MEDIOS DE TRANSPORTE;985000;553080;74674.83
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;160;MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO;166;MANTENIMIENTO Y REPARACION DE EQUIPO PARA COMUNICACIONES;70000;59000;3990
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;160;MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO;168;MANTENIMIENTO Y REPARACION DE EQUIPO DE COMPUTO;107000;135500;41360
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;160;MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO;169;MANTENIMIENTO Y REPARACION DE OTRAS MAQUINARIAS Y EQUIPOS;494500;209500;142664.43
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;170;MANTENIMIENTO Y REPARACION DE OBRAS E INSTALACIONES;171;MANTENIMIENTO Y REPARACION DE EDIFICIOS;445000;211750;61750
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;170;MANTENIMIENTO Y REPARACION DE OBRAS E INSTALACIONES;174;MANTENIMIENTO Y REPARACION DE INSTALACIONES;255000;129000;3000
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;190;OTROS SERVICIOS NO PERSONALES;191;PRIMAS Y GASTOS DE SEGUROS Y FIANZAS;1231470;1790220;644498.14
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;190;OTROS SERVICIOS NO PERSONALES;195;IMPUESTOS, DERECHOS Y TASAS;444397;393489;105234.3
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;190;OTROS SERVICIOS NO PERSONALES;196;SERVICIOS DE ATENCION Y PROTOCOLO;1790000;1511707;246106.88
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;190;OTROS SERVICIOS NO PERSONALES;199;OTROS SERVICIOS;1295000;1555847;930347.42
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;210;ALIMENTOS Y PRODUCTOS AGROPECUARIOS;211;ALIMENTOS PARA PERSONAS;17681437;17786180;11028143.56
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;210;ALIMENTOS Y PRODUCTOS AGROPECUARIOS;214;PRODUCTOS AGROFORESTALES, MADERA, CORCHO Y SUS MANUFACTURAS;27920;44320;29599.82
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;210;ALIMENTOS Y PRODUCTOS AGROPECUARIOS;219;OTROS ALIMENTOS, PRODUCTOS AGROFORESTALES Y AGROPECUARIOS;4220;54220;31070.5
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;220;MINERALES;223;PIEDRA, ARCILLA Y ARENA;67030;67030;8279.33
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;220;MINERALES;224;POMEZ, CAL Y YESO;15275;15275;1768
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;230;TEXTILES Y VESTUARIO;231;HILADOS Y TELAS;22400;30000;24339.3
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;230;TEXTILES Y VESTUARIO;232;ACABADOS TEXTILES;15290;39390;25832.14
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;230;TEXTILES Y VESTUARIO;233;PRENDAS DE VESTIR;1418095;820095;392863.94
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;230;TEXTILES Y VESTUARIO;239;OTROS TEXTILES Y VESTUARIO;13000;17200;16930
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;240;PRODUCTOS DE PAPEL, CARTON E IMPRESOS;241;PAPEL DE ESCRITORIO;213237;217162;73162.05
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;240;PRODUCTOS DE PAPEL, CARTON E IMPRESOS;242;PAPELES COMERCIALES, CARTULINAS, CARTONES Y OTROS;4975;10775;1255.3
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;240;PRODUCTOS DE PAPEL, CARTON E IMPRESOS;243;PRODUCTOS DE PAPEL O CARTON;230962;266746;140494.27
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;240;PRODUCTOS DE PAPEL, CARTON E IMPRESOS;244;PRODUCTOS DE ARTES GRAFICAS;92027;110023;19922
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;240;PRODUCTOS DE PAPEL, CARTON E IMPRESOS;245;LIBROS, REVISTAS Y PERIODICOS;48680;88880;3320
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;240;PRODUCTOS DE PAPEL, CARTON E IMPRESOS;247;ESPECIES TIMBRADAS Y VALORES;3300;24900;21600
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;250;PRODUCTOS DE CUERO Y CAUCHO;252;ARTICULOS DE CUERO;6200;6200;12
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;250;PRODUCTOS DE CUERO Y CAUCHO;253;LLANTAS Y NEUMATICOS;476095;429281;120558.43
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;250;PRODUCTOS DE CUERO Y CAUCHO;254;ARTICULOS DE CAUCHO;2813;6613;4617.75
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;260;PRODUCTOS QUIMICOS Y CONEXOS;261;ELEMENTOS Y COMPUESTOS QUIMICOS;39328;174328;159745.88
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;260;PRODUCTOS QUIMICOS Y CONEXOS;262;COMBUSTIBLES Y LUBRICANTES;6250421;5825717;2235643.15
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;260;PRODUCTOS QUIMICOS Y CONEXOS;263;ABONOS Y FERTILIZANTES;400;5950;5641
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;260;PRODUCTOS QUIMICOS Y CONEXOS;264;INSECTICIDAS, FUMIGANTES Y SIMILARES;23100;25300;4702.5
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;260;PRODUCTOS QUIMICOS Y CONEXOS;266;PRODUCTOS MEDICINALES Y FARMACEUTICOS;25479;29607;26543.61
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;260;PRODUCTOS QUIMICOS Y CONEXOS;267;TINTES, PINTURAS Y COLORANTES;387897;592737;384643.43
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;260;PRODUCTOS QUIMICOS Y CONEXOS;268;PRODUCTOS PLASTICOS, NYLON, VINIL Y P.V.C.;271716;383676;250835.21
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;260;PRODUCTOS QUIMICOS Y CONEXOS;269;OTROS PRODUCTOS QUIMICOS Y CONEXOS;35342;35912;45686.4
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;270;PRODUCTOS DE MINERALES NO METALICOS;271;PRODUCTOS DE ARCILLA;61630;61630;54475.79
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;270;PRODUCTOS DE MINERALES NO METALICOS;272;PRODUCTOS DE VIDRIO;36700;36700;14291.86
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;270;PRODUCTOS DE MINERALES NO METALICOS;273;PRODUCTOS DE LOZA Y PORCELANA;119735;69735;15530.97
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;270;PRODUCTOS DE MINERALES NO METALICOS;274;CEMENTO;104800;104800;44975.63
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;270;PRODUCTOS DE MINERALES NO METALICOS;275;PRODUCTOS DE CEMENTO, POMEZ, ASBESTO Y YESO;50390;50390;1408.55
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;280;PRODUCTOS METALICOS;281;PRODUCTOS SIDERURGICOS;107425;109800;68815.17
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;280;PRODUCTOS METALICOS;282;PRODUCTOS METALURGICOS NO FERRICOS;35515;35515;5737.5
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;280;PRODUCTOS METALICOS;283;PRODUCTOS DE METAL Y SUS ALEACIONES;174747;173813;87302.98
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;280;PRODUCTOS METALICOS;284;ESTRUCTURAS METALICAS ACABADAS;30000;140710;124612.21
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;280;PRODUCTOS METALICOS;286;HERRAMIENTAS MENORES;36224;45324;17309.41
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;280;PRODUCTOS METALICOS;289;OTROS PRODUCTOS METALICOS;5360;19836;21447.94
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;290;OTROS MATERIALES Y SUMINISTROS;291;UTILES DE OFICINA;311879;331879;72432.49
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;290;OTROS MATERIALES Y SUMINISTROS;292;PRODUCTOS SANITARIOS, DE LIMPIEZA Y DE USO PERSONAL;406523;483523;291434.58
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;290;OTROS MATERIALES Y SUMINISTROS;293;UTILES EDUCACIONALES Y CULTURALES;1296;1296;508.5
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;290;OTROS MATERIALES Y SUMINISTROS;294;UTILES DEPORTIVOS Y RECREATIVOS;30000;32000;17501.5
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;290;OTROS MATERIALES Y SUMINISTROS;295;UTILES MENORES, SUMINISTROS E INSTRUMENTAL MEDICO-QUIRURGICOS, DE LABORATORIO Y CUIDADO DE LA SALUD;1392;104252;57514.33
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;290;OTROS MATERIALES Y SUMINISTROS;296;UTILES DE COCINA Y COMEDOR;125210;125210;25296.71
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;290;OTROS MATERIALES Y SUMINISTROS;297;MATERIALES, PRODUCTOS Y ACCS. ELECTRICOS, CABLEADO ESTRUCTURADO DE REDES INFORMATICAS Y TELEFONICAS;462819;535542;278184.03
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;290;OTROS MATERIALES Y SUMINISTROS;298;ACCESORIOS Y REPUESTOS EN GENERAL;2350000;1483933;627158.18
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;290;OTROS MATERIALES Y SUMINISTROS;299;OTROS MATERIALES Y SUMINISTROS;481409;458409;147840.58
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;400;TRANSFERENCIAS CORRIENTES;410;TRANSFERENCIAS DIRECTAS A PERSONAS INDIVIDUALES;411;AYUDA PARA FUNERALES;0;13500;8000
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;400;TRANSFERENCIAS CORRIENTES;410;TRANSFERENCIAS DIRECTAS A PERSONAS INDIVIDUALES;412;PRESTACIONES POSTUMAS;0;253422;13421.05
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;400;TRANSFERENCIAS CORRIENTES;410;TRANSFERENCIAS DIRECTAS A PERSONAS INDIVIDUALES;413;INDEMNIZACIONES AL PERSONAL;3438641;17753353;16617898.05
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;400;TRANSFERENCIAS CORRIENTES;410;TRANSFERENCIAS DIRECTAS A PERSONAS INDIVIDUALES;415;VACACIONES PAGADAS POR RETIRO;1765854;3237738;2871729.57
11130003;PRESIDENCIA DE LA REPUBLICA;20;INVERSION;300;PROPIEDAD, PLANTA, EQUIPO  E INTANGIBLES;320;MAQUINARIA Y EQUIPO;322;MOBILIARIO Y EQUIPO DE OFICINA;62500;60500;8929.85
11130003;PRESIDENCIA DE LA REPUBLICA;20;INVERSION;300;PROPIEDAD, PLANTA, EQUIPO  E INTANGIBLES;320;MAQUINARIA Y EQUIPO;324;EQUIPO EDUCACIONAL, CULTURAL Y RECREATIVO;31000;63095;30635
11130003;PRESIDENCIA DE LA REPUBLICA;20;INVERSION;300;PROPIEDAD, PLANTA, EQUIPO  E INTANGIBLES;320;MAQUINARIA Y EQUIPO;326;EQUIPO PARA COMUNICACIONES;25000;129385;6035
11130003;PRESIDENCIA DE LA REPUBLICA;20;INVERSION;300;PROPIEDAD, PLANTA, EQUIPO  E INTANGIBLES;320;MAQUINARIA Y EQUIPO;328;EQUIPO DE COMPUTO;400000;319662;76042.6
11130003;PRESIDENCIA DE LA REPUBLICA;20;INVERSION;300;PROPIEDAD, PLANTA, EQUIPO  E INTANGIBLES;320;MAQUINARIA Y EQUIPO;329;OTRAS MAQUINARIAS Y EQUIPOS;52200;241400;201886.06
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;400;TRANSFERENCIAS CORRIENTES;470;TRANSFERENCIAS  AL SECTOR EXTERNO;473;TRANSFERENCIAS A ORGANISMOS REGIONALES;1280000;2400000;2016500
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;900;ASIGNACIONES GLOBALES;910;GASTOS IMPREVISTOS;914;GASTOS NO PREVISTOS;500000;0;0
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;30;PERSONAL POR JORNAL Y  A  DESTAJO;31;JORNALES;1471652;1471652;1013660.96
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;30;PERSONAL POR JORNAL Y  A  DESTAJO;33;COMPLEMENTOS ESPECIFICOS AL PERSONAL POR JORNAL;450000;804508;617789.79
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;0;SERVICIOS PERSONALES;70;OTRAS PRESTACIONES RELACIONADAS CON SALARIOS;79;OTRAS PRESTACIONES;10720764;7913841;6524215.37
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;110;SERVICIOS BASICOS Y OTROS COMPLEMENTARIOS;115;EXTRACCION DE BASURA Y DESTRUCCION DE DESECHOS SOLIDOS;76048;76048;35825
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;150;ARRENDAMIENTOS Y DERECHOS;152;ARRENDAMIENTO DE TIERRAS Y TERRENOS;0;13500;6000
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;180;SERVICIOS TECNICOS Y PROFESIONALES;185;SERVICIOS DE CAPACITACION;794300;51296;4424
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;100;SERVICIOS NO PERSONALES;180;SERVICIOS TECNICOS Y PROFESIONALES;186;SERVICIOS DE INFORMATICA Y SISTEMAS COMPUTARIZADOS;220000;50000;20000
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;210;ALIMENTOS Y PRODUCTOS AGROPECUARIOS;212;GRANOS, FORRAJES, CONCENTRADOS Y ALIMENTOS DESTINADOS A CONSUMO PARA ANIMALES;0;142117;85292
11130003;PRESIDENCIA DE LA REPUBLICA;10;GASTOS DE FUNCIONAMIENTO;200;MATERIALES Y SUMINISTROS;240;PRODUCTOS DE PAPEL, CARTON E IMPRESOS;249;OTROS PRODUCTOS DE PAPEL, CARTON E IMPRESOS;0;6000;6000
